state_name,district_name,macro_population,predicted_demand_percentile,actual_infrastructure_percentile,Latent_Demand_Gap
PUDUCHERRY,MAHE,41816.0,80.625,0.3125,80.3125
PUDUCHERRY,YANAM,55626.0,79.6875,0.15625,79.53125
GOA,NORTH GOA,818008.0,83.28125,8.359375,74.921875
MANIPUR,IMPHAL WEST,517992.0,78.75,5.625,73.125
TAMIL NADU,KANCHEEPURAM,3998252.0,96.71875,24.453125,72.265625
SIKKIM,NORTH DISTRICT,43709.0,73.359375,1.171875,72.1875
GOA,SOUTH GOA,640537.0,80.0,10.078125,69.921875
TRIPURA,WEST TRIPURA,1725739.0,80.78125,13.4375,67.34375
HIMACHAL PRADESH,SOLAN,580320.0,88.4375,21.875,66.5625
PUNJAB,RUPNAGAR,684627.0,76.5625,10.9375,65.625
PUNJAB,KAPURTHALA,815168.0,75.15625,12.65625,62.5
MAHARASHTRA,MUMBAI,3085411.0,98.125,35.703125,62.421875
SIKKIM,SOUTH DISTRICT,146850.0,62.18749999999999,2.34375,59.84374999999999
MANIPUR,IMPHAL EAST,456113.0,65.3125,6.171875,59.140625
PUNJAB,FATEHGARH SAHIB,600163.0,70.3125,11.953125,58.359375
ODISHA,JHARSUGUDA,579505.0,74.375,16.484375,57.890625
PUNJAB,FIROZPUR,2029074.0,72.03125,14.21875,57.8125
MIZORAM,AIZAWL,400309.0,63.125,8.359375,54.765625
TAMIL NADU,NAGAPATTINAM,1616450.0,80.9375,26.328125000000004,54.609375
PUNJAB,SHAHID BHAGAT SINGH NAGAR,612310.0,72.1875,18.28125,53.90625
WEST BENGAL,JALPAIGURI,3872846.0,84.6875,32.1875,52.5
MADHYA PRADESH,DATIA,786754.0,62.5,10.078125,52.421875
HIMACHAL PRADESH,UNA,521173.0,75.46875,23.90625,51.5625
DELHI,NORTH EAST,2241624.0,68.90625,18.59375,50.3125
HARYANA,YAMUNANAGAR,1214205.0,68.75,18.59375,50.15625
TRIPURA,NORTH TRIPURA,693947.0,61.25000000000001,11.953125,49.29687500000001
HARYANA,AMBALA,1128350.0,68.4375,20.703125,47.734375
HARYANA,ROHTAK,1061204.0,68.28125,20.703125,47.578125
PUNJAB,BARNALA,595527.0,55.93749999999999,8.359375,47.57812499999999
TAMIL NADU,PERAMBALUR,565223.0,73.59375,26.328125000000004,47.265625
PUNJAB,FARIDKOT,617508.0,53.59374999999999,6.796874999999999,46.79687499999999
HARYANA,REWARI,900332.0,61.71875,15.46875,46.25
SIKKIM,EAST DISTRICT,283583.0,49.0625,3.90625,45.15625
HIMACHAL PRADESH,HAMIRPUR,454768.0,75.9375,31.5625,44.375
HARYANA,MAHENDRAGARH,922088.0,61.09375,17.5,43.59375
NAGALAND,WOKHA,166343.0,49.6875,7.421875,42.265625
PUDUCHERRY,PUDUCHERRY,950289.0,86.40625,44.375,42.03125
MADHYA PRADESH,SHAJAPUR,1512681.0,57.96875,16.484375,41.484375
ASSAM,SIVASAGAR,1151050.0,71.71875,30.312499999999996,41.40625
WEST BENGAL,DAKSHIN DINAJPUR,1676276.0,65.78125,24.453125,41.328125
DELHI,EAST,1709346.0,70.46875,29.140624999999996,41.328125
CHHATTISGARH,DURG,3343872.0,79.53125,38.4375,41.09375
TAMIL NADU,VELLORE,3936331.0,92.1875,51.171875,41.015625
WEST BENGAL,DARJILING,1846823.0,79.21875,38.4375,40.78125
TRIPURA,SOUTH TRIPURA,876001.0,56.09375,15.46875,40.625
DELHI,SOUTH,2731929.0,72.5,32.1875,40.3125
MADHYA PRADESH,PANNA,1016520.0,54.37499999999999,14.21875,40.15624999999999
WEST BENGAL,UTTAR DINAJPUR,3007134.0,69.21875,29.140624999999996,40.078125
HARYANA,FARIDABAD,1809733.0,60.46875000000001,20.703125,39.76562500000001
NAGALAND,MOKOKCHUNG,194622.0,50.31250000000001,10.9375,39.37500000000001
