district_name,state_name,confidence_tier,Overall_MAI,Rank_Overall,Chronic_MAI,Rank_Chronic,Acute_MAI,Rank_Acute,health_momentum,health_momentum_low_conf,economic_momentum,climate_momentum,rank_health,rank_econ,rank_climate,Momentum_Score,Quadrant
KUPWARA,JAMMU KASHMIR,MEDIUM,17.36539274123131,595,17.069120959024715,585,22.544784337089983,565,4.699999999999999,False,26.95491183157844,40.962441997611066,87.65625,53.125,55.3125,65.36458333333333,Emerging
BADGAM,JAMMU KASHMIR,LOW,22.620964063118596,569,27.855995316685817,498,25.290058334468924,535,4.375,False,34.17722675870744,55.08488771079308,87.34375,65.78125,64.53125,72.55208333333333,Emerging
LEH LADAKH,JAMMU KASHMIR,LOW,24.97600952398474,548,23.23725400893612,544,28.310628063049297,510,4.0125,True,140.6051651290374,54.18749052813707,86.171875,99.0625,64.375,83.203125,Emerging
KARGIL,JAMMU KASHMIR,LOW,22.67665354688835,568,20.111663676428403,567,25.903288708998932,531,4.0125,True,266.02759548369005,56.59952340564331,86.171875,99.84375,65.15625,83.72395833333333,Emerging
PUNCH,JAMMU KASHMIR,LOW,16.786563167805117,599,21.43312013352439,559,21.1535382024204,573,5.299999999999999,False,19.827275791342824,46.47858340365019,89.21875,39.6875,58.75,62.552083333333336,Emerging
RAJOURI,JAMMU KASHMIR,MEDIUM,23.980855156052925,557,23.53316102297839,539,30.356053059982052,495,5.875,False,3.8670113015494083,24.315118200013856,90.15625,16.09375,40.15625,48.802083333333336,Watch
KATHUA,JAMMU KASHMIR,MEDIUM,32.073393147678416,485,36.029216517393216,410,33.46665098180382,480,0.8749999999999991,False,-5.691443827397245,-54.22,16.25,6.406249999999999,0.9375,7.864583333333333,Watch
BARAMULA,JAMMU KASHMIR,LOW,25.07956950049281,546,27.159555607717113,503,29.806201914976626,499,2.299999999999999,False,20.48053152799969,60.745537491574666,79.53125,40.78125,67.34375,62.552083333333336,Emerging
BANDIPORE,JAMMU KASHMIR,MEDIUM,14.095948197879329,618,14.813938475352677,599,18.609099781491683,584,3.6750000000000007,False,60.407416828128326,53.45421135842112,85.078125,89.53125,63.4375,79.34895833333333,Emerging
SRINAGAR,JAMMU KASHMIR,MEDIUM,43.135094250232875,337,53.41661997798904,215,49.13246589465599,314,4.724999999999999,False,20.15012326250076,33.330193053775425,87.8125,40.3125,49.6875,59.270833333333336,Emerging
