macro_nightlights_mean_shap,macro_economic_employees_shap,macro_literacy_rate_shap,macro_population_shap,macro_economic_establishments_shap,chronic_diabetes_prevalence_shap,chronic_hypertension_prevalence_shap,state_name,district_name
2.1647105,-4.199484,-0.44717276,-21.148619,-0.66757286,8.798428,-3.022128,JAMMU KASHMIR,KUPWARA
-2.5693886,2.5739305,1.339563,-20.97141,-1.4122088,9.483157,-3.760874,JAMMU KASHMIR,BADGAM
3.1895607,-8.073554,1.1460029,-30.064745,-2.0958843,2.1329362,0.40839282,JAMMU KASHMIR,LEH LADAKH
2.8004153,-8.29232,-0.075101495,-30.132778,-2.3139186,2.3565736,-0.02042381,JAMMU KASHMIR,KARGIL
0.17716663,-6.996281,0.95120084,-24.88294,-1.1809807,9.966968,-2.4413235,JAMMU KASHMIR,PUNCH
0.18470517,-4.5068245,-0.5861976,-21.36727,-1.397156,8.944259,0.37756604,JAMMU KASHMIR,RAJOURI
-0.53862697,-4.334178,-0.09138043,-22.48446,-0.6834082,2.6353223,-1.7384154,JAMMU KASHMIR,KATHUA
2.3377924,2.2622213,0.50279766,-17.768803,-1.3478096,7.978028,-2.0564446,JAMMU KASHMIR,BARAMULA
1.4130769,-7.2851224,2.6306145,-26.203918,-1.7107793,8.527576,-2.9482179,JAMMU KASHMIR,BANDIPORE
-1.3993068,4.143767,-0.19034016,-15.9870205,2.6468248,10.149879,-4.397094,JAMMU KASHMIR,SRINAGAR
2.0095773,-7.7341247,0.9229691,-27.05222,-2.2059026,8.24817,-2.1329424,JAMMU KASHMIR,GANDERBAL
-0.32790506,-4.4081516,0.038258947,-23.31147,-0.79415876,9.505642,-1.7261916,JAMMU KASHMIR,PULWAMA
2.0339978,-8.228716,0.11594673,-27.148083,-2.710493,10.511538,-0.8692907,JAMMU KASHMIR,SHUPIYAN
3.3779337,1.9865003,-0.71691394,-15.986838,-1.2455317,4.8907814,-4.1172724,JAMMU KASHMIR,ANANTNAG
1.291282,-4.676713,0.59348917,-26.008186,-0.7803151,9.178117,0.13857512,JAMMU KASHMIR,KULGAM
1.8483704,-7.904556,1.0213124,-27.719286,-2.151663,4.380687,-0.7376115,JAMMU KASHMIR,DODA
1.3990986,-7.9861584,1.3040779,-26.188217,-2.4837925,9.060199,-2.7144628,JAMMU KASHMIR,RAMBAN
1.6593007,-8.315003,0.5807153,-27.20742,-3.0977018,10.0453415,-1.0714732,JAMMU KASHMIR,KISHTWAR
-0.09364726,-4.1474276,-0.37432227,-25.007164,-1.068917,4.7193613,-3.2227497,JAMMU KASHMIR,UDHAMPUR
2.0166557,-7.1978083,0.7276797,-26.105936,-2.0763705,9.208875,-2.4983056,JAMMU KASHMIR,REASI
-3.330034,3.7684321,-0.158979,-6.071612,3.5462022,8.963886,-1.7731793,JAMMU KASHMIR,JAMMU
-0.655127,-3.3382683,0.6324195,-26.528744,-0.6122576,6.315329,-0.687583,JAMMU KASHMIR,SAMBA
1.4812981,-4.5695186,0.55864555,-27.796118,-1.4401379,6.081532,-2.6508818,HIMACHAL PRADESH,CHAMBA
5.522042,4.2804675,1.5007129,-5.4043827,-4.2571335,-2.0119166,-1.87156,HIMACHAL PRADESH,KANGRA
3.2247953,-9.582216,2.2325587,-28.82089,-2.512521,8.3577175,-2.7624352,HIMACHAL PRADESH,LAHUL SPITI
2.1114678,-4.1307034,0.76930624,-27.49365,-1.895353,7.058533,-2.6953514,HIMACHAL PRADESH,KULLU
3.7849467,3.378234,0.35955375,-19.553158,-3.2956793,0.93922263,-1.7829747,HIMACHAL PRADESH,MANDI
2.9412618,-4.01949,-1.6187267,-30.428846,-1.3589147,-0.36287653,12.300894,HIMACHAL PRADESH,HAMIRPUR
0.25256997,-3.4156718,0.18841036,-26.254478,-0.0021925736,-1.3776034,3.1191192,HIMACHAL PRADESH,UNA
3.71235,-4.2500253,0.39161584,-25.805052,-0.7055858,-4.62594,-1.2320403,HIMACHAL PRADESH,BILASPUR
-2.9848645,5.7349033,-0.34530893,-25.626768,-0.98935366,3.2918246,-0.8941333,HIMACHAL PRADESH,SOLAN
2.61682,0.5822347,1.028509,-26.462662,-0.38839573,3.4431229,-3.447319,HIMACHAL PRADESH,SIRMAUR
3.526812,3.652703,0.29885793,-23.580156,-0.7777504,1.2069547,-1.2021005,HIMACHAL PRADESH,SHIMLA
1.7175095,-8.280003,0.8014959,-28.718388,-2.2828326,8.036835,-1.8277301,HIMACHAL PRADESH,KINNAUR
-5.366545,1.6338044,-1.9624718,9.864056,-4.1668334,-6.469395,-2.1512988,PUNJAB,GURDASPUR
-2.741738,3.2159784,-1.5177114,-20.570436,-1.4396791,-4.71613,-2.1330185,PUNJAB,KAPURTHALA
-3.684715,8.157269,-0.1402554,9.246264,-1.568157,-6.9569974,-1.7175841,PUNJAB,JALANDHAR
1.4675162,4.250599,-0.06252777,-3.9824948,-0.6917128,-5.136583,-1.8621482,PUNJAB,HOSHIARPUR
-3.3253233,-3.1668227,1.4014992,-20.777086,-0.086388886,-4.0982456,-2.3644989,PUNJAB,SHAHID BHAGAT SINGH NAGAR
-2.0604486,-0.8291601,-1.6030146,-21.90653,-0.4134913,-4.636801,-2.3202128,PUNJAB,FATEHGARH SAHIB
-4.5967083,3.715844,-0.6274689,29.986588,-1.5263236,-8.461215,-2.220961,PUNJAB,LUDHIANA
-4.685944,2.175437,-0.121028766,-15.131096,-1.4819157,-4.876667,-2.620853,PUNJAB,MOGA
-5.148638,2.4675405,-0.83827734,0.1403466,-0.17205532,-6.206923,-2.8691144,PUNJAB,FIROZPUR
-2.6528416,-1.9564465,-0.788049,-18.041857,-1.032348,-4.5160375,-2.3910372,PUNJAB,MUKTSAR
-4.0279503,-2.9333086,0.16512145,-20.903938,-1.1231884,-4.606546,-2.707452,PUNJAB,FARIDKOT
-2.9624002,3.3453734,-0.31947348,-5.748163,-0.88601434,-6.007599,-2.6452677,PUNJAB,BATHINDA
-0.52314866,-4.0094643,-0.85436094,-19.417528,-0.52972764,-4.262684,-2.4193819,PUNJAB,MANSA
