pc11_state_id,pc11_district_id,state_name,district_name,pc11_pca_tot_p,pc11_pca_no_hh,pc11_pca_tot_m,pc11_pca_tot_f,pc11_pca_p_06,pc11_pca_m_06,pc11_pca_f_06,pc11_pca_p_sc,pc11_pca_m_sc,pc11_pca_f_sc,pc11_pca_p_st,pc11_pca_m_st,pc11_pca_f_st,pc11_pca_p_lit,pc11_pca_m_lit,pc11_pca_f_lit,pc11_pca_p_ill,pc11_pca_m_ill,pc11_pca_f_ill,pc11_pca_tot_work_p,pc11_pca_tot_work_m,pc11_pca_tot_work_f,pc11_pca_mainwork_p,pc11_pca_mainwork_m,pc11_pca_mainwork_f,pc11_pca_main_cl_p,pc11_pca_main_cl_m,pc11_pca_main_cl_f,pc11_pca_main_al_p,pc11_pca_main_al_m,pc11_pca_main_al_f,pc11_pca_main_hh_p,pc11_pca_main_hh_m,pc11_pca_main_hh_f,pc11_pca_main_ot_p,pc11_pca_main_ot_m,pc11_pca_main_ot_f,pc11_pca_margwork_p,pc11_pca_margwork_m,pc11_pca_margwork_f,pc11_pca_marg_cl_p,pc11_pca_marg_cl_m,pc11_pca_marg_cl_f,pc11_pca_marg_al_p,pc11_pca_marg_al_m,pc11_pca_marg_al_f,pc11_pca_marg_hh_p,pc11_pca_marg_hh_m,pc11_pca_marg_hh_f,pc11_pca_marg_ot_p,pc11_pca_marg_ot_m,pc11_pca_marg_ot_f,pc11_pca_margwork36_p,pc11_pca_margwork36_m,pc11_pca_margwork36_f,pc11_pca_marg_cl36_p,pc11_pca_marg_cl36_m,pc11_pca_marg_cl36_f,pc11_pca_marg_al36_p,pc11_pca_marg_al36_m,pc11_pca_marg_al36_f,pc11_pca_marg_hh36_p,pc11_pca_marg_hh36_m,pc11_pca_marg_hh36_f,pc11_pca_marg_ot36_p,pc11_pca_marg_ot36_m,pc11_pca_marg_ot36_f,pc11_pca_margwork03_p,pc11_pca_margwork03_m,pc11_pca_margwork03_f,pc11_pca_marg_cl03_p,pc11_pca_marg_cl03_m,pc11_pca_marg_cl03_f,pc11_pca_marg_al03_p,pc11_pca_marg_al03_m,pc11_pca_marg_al03_f,pc11_pca_marg_hh03_p,pc11_pca_marg_hh03_m,pc11_pca_marg_hh03_f,pc11_pca_marg_ot03_p,pc11_pca_marg_ot03_m,pc11_pca_marg_ot03_f,pc11_pca_non_work_p,pc11_pca_non_work_m,pc11_pca_non_work_f,ec13_emp_all,ec13_emp_f,ec13_emp_m,ec13_emp_hired,ec13_emp_hired_m,ec13_emp_hired_f,ec13_emp_unhired,ec13_emp_unhired_m,ec13_emp_unhired_f,ec13_emp_gov,ec13_emp_priv,ec13_emp_own_m,ec13_emp_own_f,ec13_emp_own_other,ec13_emp_pub_banks,ec13_emp_pub_mines,ec13_emp_size20,ec13_emp_size50,ec13_emp_size100,ec13_emp_size101,ec13_emp_st,ec13_emp_sc,ec13_emp_obc,ec13_emp_other,ec13_count_all,ec13_count_f,ec13_count_m,ec13_count_gov,ec13_count_priv,ec13_count_own_m,ec13_count_own_f,ec13_count_own_other,ec13_count_pub_banks,ec13_count_pub_mines,ec13_count_size20,ec13_count_size50,ec13_count_size100,ec13_count_size101,ec13_count_st,ec13_count_sc,ec13_count_obc,ec13_count_other,ec13_emp_manuf,ec13_emp_services,ec13_emp_shric_1,ec13_emp_shric_2,ec13_emp_shric_3,ec13_emp_shric_4,ec13_emp_shric_5,ec13_emp_shric_6,ec13_emp_shric_7,ec13_emp_shric_8,ec13_emp_shric_9,ec13_emp_shric_10,ec13_emp_shric_11,ec13_emp_shric_12,ec13_emp_shric_13,ec13_emp_shric_14,ec13_emp_shric_15,ec13_emp_shric_16,ec13_emp_shric_17,ec13_emp_shric_18,ec13_emp_shric_19,ec13_emp_shric_20,ec13_emp_shric_21,ec13_emp_shric_22,ec13_emp_shric_23,ec13_emp_shric_24,ec13_emp_shric_25,ec13_emp_shric_26,ec13_emp_shric_27,ec13_emp_shric_28,ec13_emp_shric_29,ec13_emp_shric_30,ec13_emp_shric_31,ec13_emp_shric_32,ec13_emp_shric_33,ec13_emp_shric_34,ec13_emp_shric_35,ec13_emp_shric_36,ec13_emp_shric_37,ec13_emp_shric_38,ec13_emp_shric_39,ec13_emp_shric_40,ec13_emp_shric_41,ec13_emp_shric_42,ec13_emp_shric_43,ec13_emp_shric_44,ec13_emp_shric_45,ec13_emp_shric_46,ec13_emp_shric_47,ec13_emp_shric_48,ec13_emp_shric_49,ec13_emp_shric_50,ec13_emp_shric_51,ec13_emp_shric_52,ec13_emp_shric_53,ec13_emp_shric_54,ec13_emp_shric_55,ec13_emp_shric_56,ec13_emp_shric_57,ec13_emp_shric_58,ec13_emp_shric_59,ec13_emp_shric_60,ec13_emp_shric_61,ec13_emp_shric_62,ec13_emp_shric_63,ec13_emp_shric_64,ec13_emp_shric_65,ec13_emp_shric_66,ec13_emp_shric_67,ec13_emp_shric_68,ec13_emp_shric_69,ec13_emp_shric_70,ec13_emp_shric_71,ec13_emp_shric_72,ec13_emp_shric_73,ec13_emp_shric_74,ec13_emp_shric_75,ec13_emp_shric_76,ec13_emp_shric_77,ec13_emp_shric_78,ec13_emp_shric_79,ec13_emp_shric_80,ec13_emp_shric_81,ec13_emp_shric_82,ec13_emp_shric_83,ec13_emp_shric_84,ec13_emp_shric_85,ec13_emp_shric_86,ec13_emp_shric_87,ec13_emp_shric_88,ec13_emp_shric_89,ec13_emp_shric_90,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,viirs_annual_min,viirs_annual_max,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,nfhs6_overweight_women,nfhs6_overweight_men,nfhs6_diabetes_women,nfhs6_diabetes_men,nfhs6_hypertension_women,nfhs6_hypertension_men,nfhs6_institutional_births,nfhs5_institutional_births,nfhs5_overweight_women,nfhs5_diabetes_women,nfhs5_diabetes_men,nfhs5_hypertension_women,nfhs5_hypertension_men,nfhs5_cancer_screening_cervical,nfhs5_cancer_screening_breast,rhs_sub_centres,rhs_phcs,rhs_chcs,rhs_sdh,rhs_dh,ncrp_male_cr,ncrp_male_aar,ncrp_male_tr,ncrp_female_cr,ncrp_female_aar,ncrp_female_tr,has_ncrp_data
1,1,JAMMU KASHMIR,KUPWARA,870354,113929,474190,396164,188798,100459,88339,1048,1046,2,70352,36913,33439,439654,282823,156831,430700,191367,239333,229064,190899,38165,123837,111713,12124,14585,12171,2414,9834,8804,1030,2571,1842,729,96847,88896,7951,105227,79186,26041,20095,13733,6362,46925,41745,5180,5375,2621,2754,32832,21087,11745,75096,56816,18280,13992,10175,3817,31482,28257,3225,4159,2024,2135,25463,16360,9103,30131,22370,7761,6103,3558,2545,15443,13488,1955,1216,597,619,7369,4727,2642,641290,283291,357999,43585.0,7360.0,36225.0,25451.0,19233.0,6218.0,18134.0,16992.0,1142.0,12654.0,30931.0,23075.0,1590.0,164.0,255.0,9.0,41462.0,1953.0,170.0,0.0,370.0,326.0,3039.0,21094.0,22204.0,3706.0,20429.0,3437.0,18767.0,14914.0,771.0,62.0,41.0,4.0,22135.0,66.0,3.0,0.0,286.0,171.0,2169.0,13121.0,5606.0,37862.0,35.0,44.0,0.0,38.0,183.0,6.0,51.0,700.0,23.0,703.0,11.0,0.0,489.0,1419.0,5.0,13.0,74.0,0.0,6.0,2.0,0.0,0.0,0.0,27.0,18.0,1.0,31.0,0.0,7.0,3.0,9.0,0.0,208.0,72.0,60.0,104.0,0.0,85.0,31.0,499.0,62.0,13.0,66.0,97.0,336.0,39.0,755.0,5352.0,5435.0,303.0,120.0,1127.0,69.0,1335.0,0.0,4.0,2.0,13.0,36.0,6.0,601.0,48.0,2.0,148.0,71.0,197.0,506.0,0.0,411.0,3.0,1.0,1545.0,103.0,0.0,7.0,3.0,14.0,4.0,9.0,9863.0,3863.0,160.0,333.0,9.0,3402.0,13.0,975.0,13.0,143.0,1011.0,,,,,0.0,7.206866264343262,0.1747833674231059,2639.7520482200325,15102.99342059171,36.7,27.1,13.0,11.3,25.0,20.9,,99.3,95.3,6.5,7.9,18.1,18.9,0.4,0.4,,,,,,,,,,,,False
1,2,JAMMU KASHMIR,BADGAM,753745,103363,398041,355704,155202,84720,70482,368,343,25,23912,12383,11529,335649,207741,127908,418096,190300,227796,214866,162578,52288,132003,116865,15138,34173,31582,2591,11560,10877,683,14401,10652,3749,71869,63754,8115,82863,45713,37150,21126,9351,11775,25070,17395,7675,14701,5928,8773,21966,13039,8927,62073,36028,26045,14544,6883,7661,19359,13719,5640,10878,4780,6098,17292,10646,6646,20790,9685,11105,6582,2468,4114,5711,3676,2035,3823,1148,2675,4674,2393,2281,538879,235463,303416,91532.0,23292.0,68240.0,30709.0,22728.0,7981.0,60823.0,45512.0,15311.0,10908.0,80624.0,64829.0,7128.0,693.0,334.0,13.0,82063.0,3215.0,1448.0,4806.0,896.0,175.0,12442.0,59137.0,44944.0,14544.0,40570.0,2431.0,42513.0,35586.0,4142.0,274.0,55.0,4.0,44791.0,107.0,19.0,27.0,399.0,114.0,7022.0,32467.0,44679.0,46594.0,130.0,24.0,59.0,46.0,367.0,93.0,147.0,855.0,3.0,1495.0,23.0,1.0,27790.0,4885.0,109.0,58.0,596.0,16.0,27.0,0.0,0.0,1.0,0.0,4912.0,132.0,33.0,224.0,3.0,1.0,0.0,24.0,0.0,124.0,244.0,363.0,871.0,2.0,20.0,530.0,128.0,11.0,12.0,180.0,163.0,209.0,162.0,1776.0,5278.0,5642.0,12952.0,128.0,610.0,22.0,56.0,0.0,27.0,0.0,2.0,27.0,28.0,954.0,36.0,0.0,195.0,8.0,60.0,518.0,0.0,41.0,4.0,153.0,2516.0,29.0,10.0,7.0,0.0,23.0,8.0,0.0,7663.0,3227.0,291.0,13.0,6.0,1933.0,25.0,1311.0,25.0,144.0,711.0,,,,,0.0,19.499813079833984,0.9037559758296048,5816.419878093438,6435.830062151724,36.7,27.1,13.0,11.3,25.0,20.9,,93.4,86.4,7.3,6.9,19.9,18.6,0.2,0.0,,,,,,,,,,,,False
1,3,JAMMU KASHMIR,LEH LADAKH,133487,21909,78971,54516,12016,6174,5842,488,444,44,95857,47543,48314,93770,62834,30936,39717,16137,23580,75079,53265,21814,57125,44742,12383,11175,6303,4872,593,304,289,502,188,314,44855,37947,6908,17954,8523,9431,9694,3490,6204,1052,454,598,518,107,411,6690,4472,2218,16243,7697,8546,8867,3177,5690,866,374,492,453,90,363,6057,4056,2001,1711,826,885,827,313,514,186,80,106,65,17,48,633,416,217,58408,25706,32702,18508.0,5606.0,12902.0,10800.0,6901.0,3899.0,7708.0,6001.0,1707.0,4072.0,14436.0,10593.0,1639.0,52.0,148.0,0.0,15627.0,1957.0,500.0,424.0,8753.0,154.0,73.0,3304.0,7719.0,2255.0,6391.0,706.0,7013.0,5395.0,1146.0,12.0,26.0,0.0,7644.0,66.0,7.0,2.0,4886.0,73.0,39.0,1555.0,1657.0,16839.0,7.0,1.0,0.0,4.0,0.0,0.0,31.0,23.0,0.0,210.0,0.0,0.0,69.0,301.0,2.0,2.0,13.0,13.0,1.0,8.0,1.0,0.0,0.0,6.0,224.0,30.0,1.0,9.0,0.0,0.0,165.0,0.0,126.0,83.0,7.0,308.0,0.0,7.0,266.0,126.0,6.0,2.0,1.0,97.0,19.0,11.0,294.0,1639.0,1770.0,318.0,2313.0,1324.0,0.0,1497.0,0.0,0.0,0.0,0.0,38.0,541.0,8.0,71.0,2.0,118.0,201.0,60.0,31.0,0.0,0.0,22.0,22.0,339.0,55.0,0.0,0.0,8.0,0.0,0.0,0.0,3447.0,1084.0,109.0,84.0,14.0,35.0,47.0,230.0,29.0,58.0,520.0,,,,,0.0,28.042421340942383,0.0077793706080051,3490.045472024518,448628.2564341645,36.7,27.1,13.0,11.3,25.0,20.9,,,,,,,,,,,,,,,,,,,,,False
1,4,JAMMU KASHMIR,KARGIL,140802,18338,77785,63017,19928,10078,9850,18,12,6,122336,62652,59684,86236,56301,29935,54566,21484,33082,51873,39839,12034,28941,25174,3767,1834,1102,732,524,279,245,272,207,65,26311,23586,2725,22932,14665,8267,6432,3164,3268,3239,1566,1673,950,274,676,12311,9661,2650,15528,10021,5507,4148,1982,2166,2269,1117,1152,687,181,506,8424,6741,1683,7404,4644,2760,2284,1182,1102,970,449,521,263,93,170,3887,2920,967,88929,37946,50983,11003.0,2436.0,8567.0,7360.0,5248.0,2112.0,3643.0,3319.0,324.0,5018.0,5985.0,4515.0,346.0,9.0,30.0,0.0,9760.0,759.0,234.0,250.0,4197.0,58.0,22.0,593.0,4569.0,1022.0,4152.0,1062.0,3507.0,2945.0,197.0,3.0,8.0,0.0,4538.0,26.0,4.0,1.0,2853.0,34.0,16.0,242.0,924.0,10073.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,24.0,0.0,0.0,81.0,210.0,3.0,0.0,45.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,200.0,34.0,11.0,249.0,4.0,0.0,110.0,40.0,22.0,7.0,0.0,9.0,19.0,20.0,14.0,10.0,2215.0,96.0,169.0,541.0,0.0,851.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,37.0,0.0,70.0,128.0,9.0,3.0,0.0,1.0,0.0,0.0,163.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3646.0,880.0,86.0,355.0,8.0,0.0,6.0,15.0,1.0,81.0,316.0,,,,,0.0,14.641366958618164,0.0156707498018615,1481.5258441434348,94540.83964555696,36.7,27.1,13.0,11.3,25.0,20.9,,,,,,,,,,,,,,,,,,,,,False
1,5,JAMMU KASHMIR,PUNCH,476835,90261,251899,224936,84674,44733,39941,556,406,150,176101,90274,85827,261724,163333,98391,215111,88566,126545,161393,117677,43716,73247,63147,10100,17902,15566,2336,5917,4958,959,1187,819,368,48241,41804,6437,88146,54530,33616,36362,22076,14286,25666,19737,5929,2743,904,1839,23375,11813,11562,61416,41093,20323,22462,15117,7345,20158,16264,3894,1795,661,1134,17001,9051,7950,26730,13437,13293,13900,6959,6941,5508,3473,2035,948,243,705,6374,2762,3612,315442,134222,181220,24703.0,4835.0,19868.0,14349.0,10032.0,4317.0,10354.0,9836.0,518.0,9269.0,15434.0,12271.0,832.0,30.0,272.0,0.0,21769.0,1753.0,420.0,761.0,1789.0,108.0,1029.0,10207.0,12607.0,2171.0,11663.0,2103.0,10504.0,8767.0,404.0,23.0,39.0,0.0,12539.0,59.0,7.0,2.0,1482.0,56.0,856.0,6800.0,3561.0,21076.0,57.0,8.0,0.0,1.0,20.0,0.0,19.0,1049.0,0.0,121.0,0.0,5.0,9.0,791.0,2.0,36.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,1.0,396.0,0.0,147.0,42.0,748.0,937.0,16.0,118.0,107.0,106.0,34.0,0.0,13.0,152.0,100.0,2.0,3614.0,1627.0,90.0,57.0,134.0,828.0,4.0,443.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,68.0,1.0,130.0,3.0,48.0,325.0,1.0,10.0,4.0,3.0,868.0,61.0,0.0,51.0,0.0,0.0,0.0,7.0,8247.0,1177.0,132.0,1131.0,5.0,28.0,4.0,110.0,7.0,58.0,301.0,,,,,0.0,8.092065811157227,0.5639024276705201,7261.116009832499,12876.546816491207,36.7,27.1,13.0,11.3,25.0,20.9,,98.0,91.2,7.8,7.0,17.9,16.3,0.4,0.6,,,,,,,,,,,,False
1,6,JAMMU KASHMIR,RAJOURI,642415,130401,345351,297064,108271,58051,50220,48157,25170,22987,232815,121374,111441,364109,224469,139640,278306,120882,157424,290912,184752,106160,130377,110114,20263,43100,34752,8348,6148,5205,943,1655,1108,547,79474,69049,10425,160535,74638,85897,93427,47002,46425,17868,11153,6715,3001,796,2205,46239,15687,30552,103023,50679,52344,57231,30796,26435,12491,8200,4291,2140,579,1561,31161,11104,20057,57512,23959,33553,36196,16206,19990,5377,2953,2424,861,217,644,15078,4583,10495,351503,160599,190904,33107.0,6819.0,26288.0,20498.0,14361.0,6137.0,12609.0,11927.0,682.0,11682.0,21425.0,16945.0,1622.0,26.0,333.0,0.0,27353.0,2985.0,788.0,1981.0,1477.0,940.0,931.0,15245.0,15264.0,2500.0,14259.0,2598.0,12666.0,10260.0,517.0,17.0,65.0,0.0,15149.0,94.0,11.0,10.0,1120.0,700.0,684.0,8290.0,5235.0,27655.0,9.0,2.0,0.0,206.0,1.0,4.0,54.0,1173.0,1.0,49.0,4.0,0.0,6.0,898.0,13.0,16.0,46.0,44.0,5.0,1.0,0.0,0.0,2.0,1281.0,13.0,1.0,0.0,0.0,0.0,0.0,283.0,0.0,130.0,1.0,177.0,41.0,2.0,0.0,421.0,96.0,84.0,1.0,16.0,85.0,4.0,3.0,4455.0,2661.0,32.0,253.0,205.0,1186.0,3.0,452.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,141.0,1.0,208.0,392.0,79.0,31.0,0.0,0.0,28.0,99.0,1209.0,12.0,3.0,15.0,5.0,0.0,0.0,0.0,11124.0,1302.0,160.0,845.0,53.0,0.0,12.0,698.0,10.0,17.0,2229.0,,,,,0.0,11.363452911376951,0.5699573788411947,9007.463316373269,15803.748930642383,36.7,27.1,13.0,11.3,25.0,20.9,,95.4,86.5,8.0,8.4,16.5,13.8,0.2,0.0,,,,,,,,,,,,False
1,7,JAMMU KASHMIR,KATHUA,616435,119583,326109,290326,83936,45833,38103,141224,74644,66580,53307,27693,25614,389204,228499,160705,227231,97610,129621,200431,161548,38883,142847,123404,19443,46391,39107,7284,10152,8985,1167,2226,1676,550,84078,73636,10442,57584,38144,19440,23142,12494,10648,11414,8613,2801,1726,837,889,21302,16200,5102,44034,29942,14092,17047,9662,7385,8728,6814,1914,1401,676,725,16858,12790,4068,13550,8202,5348,6095,2832,3263,2686,1799,887,325,161,164,4444,3410,1034,416004,164561,251443,54178.0,10811.0,43367.0,34805.0,25562.0,9243.0,19373.0,17805.0,1568.0,10996.0,43182.0,28314.0,11109.0,99.0,495.0,0.0,37379.0,4823.0,1464.0,10512.0,509.0,3318.0,3443.0,32252.0,20407.0,3427.0,18838.0,2690.0,17717.0,15472.0,968.0,42.0,90.0,0.0,20218.0,153.0,22.0,14.0,371.0,2481.0,2182.0,11448.0,10879.0,42936.0,24.0,19.0,0.0,320.0,44.0,31.0,293.0,1664.0,17.0,292.0,29.0,1.0,73.0,1108.0,14.0,53.0,165.0,76.0,26.0,5.0,27.0,661.0,2.0,1318.0,207.0,325.0,55.0,2.0,12.0,7.0,939.0,41.0,634.0,60.0,669.0,120.0,0.0,11.0,770.0,484.0,150.0,6.0,85.0,166.0,272.0,1.0,4693.0,3737.0,1107.0,8934.0,282.0,1509.0,11.0,904.0,50.0,0.0,0.0,2.0,90.0,10.0,3.0,170.0,6.0,320.0,621.0,71.0,101.0,26.0,18.0,163.0,173.0,2698.0,41.0,0.0,27.0,31.0,0.0,9.0,0.0,11700.0,1320.0,192.0,1214.0,123.0,804.0,47.0,546.0,9.0,71.0,1067.0,,,,,0.0,24.63489532470703,0.727780101819258,9898.72747553056,13601.261494765184,36.7,27.1,13.0,11.3,25.0,20.9,,98.1,96.6,12.4,11.8,18.9,23.6,0.4,0.8,,,,,,,,,,,,False
1,8,JAMMU KASHMIR,BARAMULA,1008039,152635,534733,473306,164581,88321,76260,1476,1451,25,37705,20237,17468,545149,337170,207979,462890,197563,265327,304200,249581,54619,187959,169496,18463,31114,28357,2757,19159,18143,1016,7650,5545,2105,130036,117451,12585,116241,80085,36156,26381,14785,11596,43087,35173,7914,7434,3550,3884,39339,26577,12762,87513,62378,25135,17802,10823,6979,31594,26821,4773,5733,2763,2970,32384,21971,10413,28728,17707,11021,8579,3962,4617,11493,8352,3141,1701,787,914,6955,4606,2349,703839,285152,418687,85022.0,14781.0,70241.0,41162.0,31522.0,9640.0,43860.0,38719.0,5141.0,17282.0,67740.0,54701.0,4648.0,239.0,700.0,49.0,77432.0,4114.0,858.0,2618.0,449.0,289.0,4500.0,54350.0,44288.0,7271.0,40619.0,3910.0,40378.0,33973.0,2664.0,100.0,119.0,24.0,44122.0,140.0,11.0,15.0,303.0,200.0,2927.0,33307.0,21617.0,60911.0,108.0,322.0,148.0,1916.0,346.0,24.0,36.0,639.0,0.0,1451.0,77.0,0.0,9928.0,2634.0,14.0,17.0,2281.0,202.0,6.0,11.0,3.0,26.0,3.0,228.0,660.0,64.0,144.0,16.0,0.0,0.0,565.0,7.0,471.0,96.0,535.0,596.0,0.0,34.0,278.0,852.0,223.0,9.0,63.0,796.0,483.0,10.0,10713.0,7692.0,825.0,3175.0,197.0,1954.0,5.0,5749.0,6.0,2.0,4.0,0.0,1.0,115.0,38.0,81.0,6.0,255.0,407.0,107.0,543.0,2.0,80.0,573.0,17.0,1668.0,46.0,0.0,7.0,7.0,1.0,6.0,0.0,13266.0,2969.0,287.0,1899.0,401.0,3700.0,3.0,664.0,52.0,100.0,1077.0,,,,,0.0,14.02623176574707,0.4302989955889764,6378.410358877271,14823.205315984418,36.7,27.1,13.0,11.3,25.0,20.9,,96.0,78.3,10.0,8.3,23.7,19.0,1.7,4.0,,,,,,,,,,,,False
1,9,JAMMU KASHMIR,BANDIPORE,392232,58392,207680,184552,61754,32641,29113,392,375,17,75374,39398,35976,185979,117058,68921,206253,90622,115631,149317,101380,47937,75173,64904,10269,10778,9878,900,9423,7881,1542,9526,6916,2610,45446,40229,5217,74144,36476,37668,17454,6877,10577,23459,13764,9695,10958,4384,6574,22273,11451,10822,51874,27971,23903,10581,4769,5812,16113,10191,5922,8486,3720,4766,16694,9291,7403,22270,8505,13765,6873,2108,4765,7346,3573,3773,2472,664,1808,5579,2160,3419,242915,106300,136615,21128.0,3312.0,17816.0,11097.0,8920.0,2177.0,10031.0,8896.0,1135.0,3667.0,17461.0,10132.0,1320.0,232.0,101.0,5.0,19645.0,1057.0,146.0,280.0,761.0,316.0,1632.0,8975.0,10754.0,1781.0,9962.0,1017.0,9737.0,6067.0,654.0,106.0,18.0,2.0,10715.0,35.0,2.0,2.0,512.0,177.0,890.0,5248.0,4696.0,15621.0,120.0,310.0,15.0,366.0,188.0,1.0,0.0,290.0,0.0,672.0,7.0,6.0,1681.0,2.0,11.0,29.0,757.0,11.0,1.0,13.0,6.0,12.0,0.0,217.0,158.0,0.0,0.0,1.0,0.0,10.0,6.0,0.0,159.0,70.0,305.0,77.0,0.0,1.0,153.0,14.0,209.0,3.0,1.0,0.0,69.0,1.0,3806.0,1911.0,74.0,709.0,47.0,98.0,1.0,723.0,3.0,7.0,0.0,10.0,0.0,2.0,0.0,6.0,0.0,143.0,184.0,41.0,1.0,0.0,10.0,2.0,13.0,388.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,3860.0,461.0,80.0,949.0,16.0,0.0,16.0,83.0,0.0,15.0,1509.0,,,,,0.0,7.910929679870605,0.1354110252718054,1613.8103112801398,11917.864945197776,36.7,27.1,13.0,11.3,25.0,20.9,,97.5,89.8,8.7,8.0,21.4,17.4,0.4,0.2,,,,,,,,,,,,False
1,10,JAMMU KASHMIR,SRINAGAR,1236829,191678,651124,585705,158300,84897,73403,1068,995,73,8935,5021,3914,748584,431746,316838,488245,219378,268867,407188,333151,74037,330547,289800,40747,6602,5616,986,6513,6013,500,12577,9994,2583,304855,268177,36678,76641,43351,33290,5626,2803,2823,3895,2854,1041,7518,2092,5426,59602,35602,24000,67189,38465,28724,4789,2498,2291,3056,2289,767,5448,1787,3661,53896,31891,22005,9452,4886,4566,837,305,532,839,565,274,2070,305,1765,5706,3711,1995,829641,317973,511668,156205.0,24877.0,131328.0,82762.0,65260.0,17502.0,73443.0,66068.0,7375.0,27842.0,128363.0,95395.0,7317.0,2946.0,1791.0,0.0,121206.0,8479.0,4879.0,21641.0,1924.0,2559.0,356.0,100819.0,66625.0,8559.0,62601.0,2154.0,64471.0,51293.0,3932.0,790.0,121.0,0.0,66215.0,278.0,71.0,61.0,1113.0,1474.0,226.0,53202.0,34123.0,120236.0,1495.0,225.0,25.0,101.0,422.0,9.0,809.0,279.0,7.0,2451.0,111.0,11.0,10737.0,4422.0,678.0,111.0,151.0,365.0,12.0,70.0,120.0,42.0,0.0,5.0,1285.0,13.0,9.0,0.0,11.0,5.0,563.0,1.0,831.0,251.0,3562.0,1154.0,12.0,355.0,1493.0,3701.0,57.0,45.0,83.0,2027.0,2244.0,355.0,5840.0,22801.0,10672.0,4236.0,6518.0,4729.0,13.0,3914.0,5.0,53.0,772.0,42.0,367.0,894.0,285.0,205.0,78.0,2356.0,334.0,289.0,3297.0,1.0,551.0,59.0,334.0,10342.0,349.0,139.0,70.0,66.0,1.0,63.0,38.0,17847.0,8950.0,118.0,817.0,213.0,46.0,447.0,4016.0,17.0,673.0,2633.0,,,,,0.0,43.973915100097656,5.578778921550773,9309.865606648333,1668.799882118362,36.7,27.1,13.0,11.3,25.0,20.9,,97.8,92.2,7.4,5.7,20.1,18.1,0.0,0.0,,,,,,,,,,,,False
