district_name,state_name,nfhs5_institutional_births,nfhs5_overweight_women,nfhs5_diabetes_women,nfhs5_diabetes_men,nfhs5_hypertension_women,nfhs5_hypertension_men,nfhs5_cancer_screening_cervical,nfhs5_cancer_screening_breast
NICOBAR,ANDAMAN & NICOBAR ISLANDS,97.9,62.5,13.1,15.4,35.4,47.0,13.2,5.4
NORTH & MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,99.2,79.3,16.7,18.3,27.4,32.2,0.3,15.8
SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,98.9,78.2,18.4,18.1,23.0,26.9,0.7,8.0
ANANTAPUR,ANDHRA PRADESH,100.0,46.3,14.2,16.8,23.4,26.7,0.4,4.0
CHITTOOR,ANDHRA PRADESH,98.2,41.7,17.2,22.4,22.7,27.1,0.3,4.0
EAST GODAVARI,ANDHRA PRADESH,91.4,49.2,21.7,27.6,29.0,32.2,1.0,4.8
GUNTUR,ANDHRA PRADESH,96.0,53.4,22.7,25.9,25.8,31.3,0.2,14.6
KRISHNA,ANDHRA PRADESH,96.4,,,,,,,
KURNOOL,ANDHRA PRADESH,95.6,42.1,15.1,20.6,27.0,31.8,0.2,2.9
PRAKASAM,ANDHRA PRADESH,92.8,,,,,,,
SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,92.8,,,,,,,
SRIKAKULAM,ANDHRA PRADESH,100.0,54.0,17.4,17.6,22.1,22.9,0.2,3.8
VISAKHAPATNAM,ANDHRA PRADESH,97.0,,,,,,,
VIZIANAGARAM,ANDHRA PRADESH,98.8,,,,,,,
WEST GODAVARI,ANDHRA PRADESH,100.0,,,,,,,
Y.S.R.,ANDHRA PRADESH,97.7,,,,,,,
ANJAW,ARUNACHAL PRADESH,,,,,,,0.6,0.2
CHANGLANG,ARUNACHAL PRADESH,,,,,,,0.0,0.0
DIBANG VALLEY,ARUNACHAL PRADESH,,,,,,,0.4,0.8
EAST KAMENG,ARUNACHAL PRADESH,,,,,,,0.2,0.7
EAST SIANG,ARUNACHAL PRADESH,,,,,,,0.2,0.8
KRA DAADI,ARUNACHAL PRADESH,,,,,,,0.3,0.6
KURUNG KUMEY,ARUNACHAL PRADESH,,,,,,,0.0,1.4
LOHIT,ARUNACHAL PRADESH,,,,,,,1.3,1.1
LONGDING,ARUNACHAL PRADESH,,,,,,,0.0,0.0
LOWER DIBANG VALLEY,ARUNACHAL PRADESH,,,,,,,0.2,0.2
LOWER SUBANSIRI,ARUNACHAL PRADESH,,,,,,,0.7,0.8
NAMSAI,ARUNACHAL PRADESH,,,,,,,0.0,0.0
PAPUM PARE,ARUNACHAL PRADESH,,,,,,,1.2,2.0
