nfhs6_overweight_women,nfhs6_overweight_men,nfhs6_diabetes_women,nfhs6_diabetes_men,nfhs6_hypertension_women,nfhs6_hypertension_men,state_name,nfhs6_institutional_births
30.7,27.3,17.8,20.9,19.4,22.1,,
47.9,41.5,21.8,24.1,24.1,26.0,ANDHRA PRADESH,
29.3,31.8,11.2,12.7,24.2,31.3,ARUNACHAL PRADESH,
19.6,21.1,12.5,15.6,19.6,21.4,ASSAM,
19.8,19.4,13.1,17.3,14.1,17.8,BIHAR,
45.1,43.6,27.5,32.1,26.2,27.5,GOA,
32.1,29.9,16.4,18.6,20.9,22.3,GUJARAT,
37.3,33.9,16.7,18.5,16.7,19.6,HA RYANA,
38.2,31.4,20.6,20.0,24.1,31.7,HIMACHAL PRADESH,
16.9,16.8,15.0,21.8,13.0,17.0,J HARKHAND,
41.2,36.4,22.3,26.1,25.1,28.2,K ARNATAKA,
46.7,37.0,28.9,31.9,31.9,36.6,KERALA,
31.1,32.8,16.0,17.7,24.9,27.7,MADHYA PRADESH,33.6
13.8,15.6,7.1,6.8,16.9,19.1,MEGHALAYA,
24.8,35.6,14.5,13.7,16.4,20.2,MIZORAM,
17.2,23.7,10.2,10.9,23.7,28.7,NA GALAND,
29.7,27.8,21.7,26.6,22.3,24.9,O DISHA,
44.7,37.5,21.3,22.3,24.5,26.3,P UNJAB,
20.3,19.3,10.4,12.7,14.4,16.5,RA JASTHAN,
47.5,42.6,15.1,15.6,32.0,36.6,S IKKIM,
44.2,38.8,25.2,26.7,24.2,28.2,TAM IL NADU,
36.3,35.5,19.6,24.5,24.2,28.2,TEL ANGANA,
26.2,23.0,19.6,25.1,20.0,24.5,T RIPURA,
26.7,21.8,15.5,19.5,12.1,14.1,UTTAR PRADESH,
34.3,26.5,18.1,21.4,14.5,18.3,UTTARAKHAND,
34.6,24.5,22.7,26.8,24.3,24.9,WEST BENGAL,
44.5,46.1,20.5,21.4,24.1,31.2,ANDAMAN AND NICOBAR ISLANDS,
48.5,48.5,19.0,16.6,25.0,30.6,CHANDIGARH,
29.0,25.7,12.9,15.1,14.3,18.4,DADRA & NAGAR HAVELI AND DAMAN & DIU,
36.7,27.1,13.0,11.3,25.0,20.9,JAMMU AND KASHMIR,
22.8,27.8,6.7,8.8,16.3,16.5,LADAKH,
50.1,26.3,22.5,23.8,30.7,31.0,LAKSHADWEEP,
42.7,34.8,19.0,22.2,21.4,28.2,NCT OF DELHI,
51.3,45.9,26.7,28.8,23.5,29.4,PUDUCHERRY,
