state_name,district_name,data_completeness_score,data_confidence_tier,macro_population,macro_literacy_rate,macro_economic_establishments,macro_economic_employees,macro_nightlights_mean,chronic_diabetes_prevalence,chronic_hypertension_prevalence,chronic_cancer_incidence_aar,infra_hospitals_count,infra_phc_chc_count,infra_pmbjp_kendra_count,climate_rainfall_annual_mm,climate_rainfall_volatility,climate_rainfall_deviation_pct
JAMMU KASHMIR,KUPWARA,71.42857142857143,MEDIUM,26.5625,12.812499999999998,23.28125,21.40625,13.4375,1.7187500000000002,37.734375,71.71875,22.8125,45.15625,41.953125,16.40625,7.34375,55.3125
JAMMU KASHMIR,BADGAM,57.14285714285714,LOW,23.28125,4.6875,46.09375,44.0625,63.125,1.484375,41.484375,70.46875,2.65625,47.03125,0.703125,0.3125,2.34375,64.53125
JAMMU KASHMIR,LEH LADAKH,50.0,LOW,5.0,74.0625,8.28125,9.6875,1.40625,21.484375,55.39062500000001,90.15625,57.34375000000001,26.406249999999996,43.4375,72.65625,67.8125,64.375
JAMMU KASHMIR,KARGIL,50.0,LOW,5.78125,47.03125,5.9375,5.625,1.875,21.484375,55.39062500000001,90.0,53.59374999999999,23.90625,27.65625,71.875,65.15625,65.15625
JAMMU KASHMIR,PUNCH,57.14285714285714,LOW,14.374999999999998,24.21875,13.90625,12.5,39.6875,1.875,30.0,82.96875,3.125,41.71875,5.46875,0.9375,2.34375,58.75
JAMMU KASHMIR,RAJOURI,71.42857142857143,MEDIUM,19.84375,29.843750000000004,16.5625,16.875,40.15625,2.65625,17.96875,80.9375,22.5,33.75,39.53125,71.25,54.53125,40.15625
JAMMU KASHMIR,KATHUA,78.57142857142857,MEDIUM,18.90625,53.90625,21.5625,25.46875,52.34375,21.171875,50.15625,84.84375,51.5625,26.09375,41.953125,74.375,66.40625,0.9375
JAMMU KASHMIR,BARAMULA,64.28571428571429,LOW,30.78125,22.03125,45.0,41.40625,28.90625,4.21875,51.09375000000001,61.25000000000001,23.75,57.03125,56.56250000000001,0.46875,2.34375,67.34375
JAMMU KASHMIR,BANDIPORE,71.42857142857143,MEDIUM,12.65625,7.8125,12.34375,11.25,12.03125,2.96875,42.1875,85.9375,23.28125,33.90625,29.453125000000004,15.78125,7.187499999999999,63.4375
JAMMU KASHMIR,SRINAGAR,71.42857142857143,MEDIUM,39.53125,43.75,64.84375,65.3125,96.71875,0.9375,40.390625,62.34375,24.6875,57.34375000000001,74.765625,23.59375,8.28125,49.6875
JAMMU KASHMIR,GANDERBAL,71.42857142857143,MEDIUM,10.78125,9.375,10.625,10.78125,24.84375,3.5937499999999996,44.84375,87.65625,25.624999999999996,28.125,29.453125000000004,29.375,8.90625,65.0
JAMMU KASHMIR,PULWAMA,71.42857142857143,MEDIUM,16.25,17.03125,24.53125,23.75,50.46874999999999,0.3125,48.59375,80.0,24.0625,44.21875,59.53125,27.8125,9.21875,57.65625
JAMMU KASHMIR,SHUPIYAN,57.14285714285714,LOW,10.0,14.374999999999998,10.0,8.125,19.6875,0.15625,13.515625,87.1875,2.34375,37.03125,0.703125,0.78125,2.34375,54.37499999999999
JAMMU KASHMIR,ANANTNAG,78.57142857142857,MEDIUM,34.21875,12.968750000000002,44.6875,40.78125,18.28125,7.03125,42.5,60.3125,26.718750000000004,45.9375,71.953125,32.8125,9.53125,4.53125
JAMMU KASHMIR,KULGAM,71.42857142857143,MEDIUM,13.4375,10.9375,21.875,17.1875,11.40625,0.625,54.6875,81.875,25.78125,40.0,47.34375,52.03124999999999,18.4375,60.0
JAMMU KASHMIR,DODA,78.57142857142857,MEDIUM,13.125,20.3125,9.84375,8.4375,14.531250000000002,6.5625,53.515625,86.40625,26.406249999999996,24.53125,26.25,50.31250000000001,33.28125,1.7187500000000002
JAMMU KASHMIR,RAMBAN,71.42857142857143,MEDIUM,10.625,4.375,7.187499999999999,5.9375,29.062500000000004,0.78125,28.59375,88.125,3.28125,24.0625,29.453125000000004,68.125,37.65625,50.0
JAMMU KASHMIR,KISHTWAR,71.42857142857143,MEDIUM,8.59375,7.187499999999999,8.125,6.875000000000001,3.125,0.46875,12.03125,88.4375,2.5,26.25,23.671875,29.21875,17.03125,47.65625
JAMMU KASHMIR,UDHAMPUR,78.57142857142857,MEDIUM,16.09375,34.375,17.5,17.5,40.0,5.15625,40.78125,83.90625,26.25,20.78125,35.546875,77.34375,53.43750000000001,0.625
JAMMU KASHMIR,REASI,71.42857142857143,MEDIUM,11.09375,8.75,11.875,12.34375,24.0625,1.484375,28.203125,88.28125,21.5625,22.03125,29.453125000000004,80.9375,65.46875,45.625
JAMMU KASHMIR,JAMMU,78.57142857142857,MEDIUM,49.21875,85.9375,65.0,66.5625,92.96875,4.53125,51.953125,55.625,53.43750000000001,64.0625,92.578125,81.5625,76.25,1.5625
JAMMU KASHMIR,SAMBA,71.42857142857143,MEDIUM,11.40625,78.125,14.84375,25.78125,89.0625,10.078125,50.85937499999999,92.5,52.96875,34.53125,55.00000000000001,68.59375,68.59375,57.8125
HIMACHAL PRADESH,CHAMBA,78.57142857142857,MEDIUM,15.156249999999998,51.40625,20.78125,20.0,5.9375,10.546875,46.25,83.125,48.75,24.21875,12.265625,69.0625,56.875,2.5
HIMACHAL PRADESH,KANGRA,78.57142857142857,MEDIUM,48.4375,91.25,76.25,68.59375,14.21875,37.96875,72.1875,39.53125,71.71875,50.0,56.56250000000001,77.65625,72.65625,2.03125
HIMACHAL PRADESH,LAHUL SPITI,71.42857142857143,MEDIUM,0.46875,71.875,3.125,4.53125,0.625,2.109375,30.0,93.125,24.21875,22.1875,34.21875,13.750000000000002,11.09375,6.406249999999999
HIMACHAL PRADESH,KULLU,78.57142857142857,MEDIUM,13.593749999999998,74.21875,32.03125,29.062500000000004,6.875000000000001,4.53125,39.84375,81.25,50.9375,31.71875,7.734375,48.28125,29.531249999999996,50.625
HIMACHAL PRADESH,MANDI,78.57142857142857,MEDIUM,30.46875,80.625,56.25,51.71875,12.1875,30.390625,53.515625,62.5,68.59375,38.75,41.953125,67.5,51.40625,5.9375
HIMACHAL PRADESH,HAMIRPUR,78.57142857142857,MEDIUM,13.90625,94.84375,27.968749999999996,26.09375,13.593749999999998,78.4375,96.25,81.40625,85.3125,27.34375,32.578125,37.96875,46.71875,3.4375000000000004
HIMACHAL PRADESH,UNA,78.57142857142857,MEDIUM,15.312500000000002,91.71875,25.78125,32.1875,37.8125,78.75,88.515625,86.5625,84.21875,20.3125,29.453125000000004,44.21875,37.03125,11.5625
HIMACHAL PRADESH,BILASPUR,78.57142857142857,MEDIUM,12.1875,88.75,24.21875,22.65625,25.624999999999996,73.828125,49.84375,85.3125,71.875,14.21875,17.421875,64.84375,52.03124999999999,10.3125
HIMACHAL PRADESH,SOLAN,78.57142857142857,MEDIUM,17.1875,84.21875,38.28125,69.53125,61.09375,21.171875,52.81249999999999,94.84375,56.40625,20.46875,21.328125,72.5,54.0625,3.75
HIMACHAL PRADESH,SIRMAUR,78.57142857142857,MEDIUM,15.46875,69.375,24.0625,37.34375,18.75,6.71875,43.59375,89.375,51.40625,22.34375,17.421875,79.0625,66.09375,4.0625
HIMACHAL PRADESH,SHIMLA,78.57142857142857,MEDIUM,24.6875,88.4375,40.9375,53.59374999999999,10.0,22.109375,52.65625000000001,81.09375,57.8125,37.5,23.671875,53.125,37.8125,39.0625
HIMACHAL PRADESH,KINNAUR,78.57142857142857,MEDIUM,3.4375000000000004,80.0,7.34375,9.375,4.21875,2.109375,47.5,91.09375,28.59375,31.406250000000004,3.359375,8.125,6.71875,50.9375
