rhs_state_name,rhs_district_name,rhs_sub_centres,rhs_phcs,rhs_chcs,rhs_sdh,rhs_dh
,PATNA,383,99,8,3,1
,PURBI CHAMPARAN,413,90,14,3,1
,PURNIA,472,51,5,2,1
,ROHTAS,255,48,6,2,1
,SAHARSA,166,40,4,1,1
,SAMASTIPUR,358,59,12,4,1
,SARAN,394,52,14,1,1
,SHEIKHPURA,75,15,2,0,1
,SHEOHAR,96,13,2,0,1
,SITAMARHI,208,45,13,1,1
,SIWAN,379,53,14,1,1
,SUPAUL,173,29,6,1,1
,VAISHALI,336,49,5,1,1
CHHATTISGARH,BALOD,196,30,6,0,1
CHHATTISGARH,BALODA BAZAR,219,31,6,1,1
CHHATTISGARH,BALRAMPUR,192,28,6,0,1
CHHATTISGARH,BASTAR,243,40,7,1,1
CHHATTISGARH,BEMETARA,127,20,4,1,1
CHHATTISGARH,BIJAPUR,77,10,5,0,1
CHHATTISGARH,BILASPUR,228,44,5,0,1
CHHATTISGARH,DANTEWADA,76,13,4,0,1
CHHATTISGARH,DHAMTARI,182,26,4,1,1
CHHATTISGARH,DURG,221,30,8,1,1
CHHATTISGARH,GARYABAND,198,16,5,1,1
CHHATTISGARH,GAURELLA PENDRA MARWAHI,76,15,3,0,1
CHHATTISGARH,JANJGIR-CHAMPA,273,47,11,1,1
CHHATTISGARH,JASHPUR,259,35,8,0,1
CHHATTISGARH,KANKER,249,34,8,1,1
CHHATTISGARH,KAWARDHA,145,25,6,0,1
CHHATTISGARH,KONDAGAON,173,22,6,0,1
CHHATTISGARH,KORBA,285,39,6,0,1
CHHATTISGARH,KORYA,196,31,5,0,1
CHHATTISGARH,MAHASAMUND,227,31,5,0,1
CHHATTISGARH,MUNGALI,124,29,3,0,1
CHHATTISGARH,NARAYANPUR,63,8,1,0,1
CHHATTISGARH,RAIGARH,350,55,10,2,1
CHHATTISGARH,RAIPUR,275,35,10,1,1
CHHATTISGARH,RAJNANDGAON,332,51,10,1,1
CHHATTISGARH,SUKMA,95,13,3,0,1
CHHATTISGARH,SURAJPUR,209,36,9,0,1
CHHATTISGARH,SURGUJA,204,28,6,0,0
GOA,NORTH GOA,114,13,4,0,1
GOA,SOUTH GOA,105,15,2,2,1
GUJARAT,AHMADABAD,211,122,17,3,0
GUJARAT,AMRELI,248,44,12,3,0
GUJARAT,ANAND,277,61,14,0,2
GUJARAT,ARVALLI,219,38,10,1,0
GUJARAT,BANAS KANTHA,759,125,26,4,1
GUJARAT,BHARUCH,241,46,9,1,0
GUJARAT,BHAVNAGAR,299,65,13,2,0
GUJARAT,BOTAD,95,19,5,0,1
GUJARAT,CHHOTAUDEPUR,310,51,12,0,1
GUJARAT,DANG,68,10,3,0,1
GUJARAT,DEVBHUMI DWARKA,169,25,4,1,1
GUJARAT,DOHAD,637,99,20,2,0
GUJARAT,GANDHINAGAR,156,36,9,1,0
GUJARAT,GIR SOMNATH,174,33,7,1,1
GUJARAT,JAMNAGAR,210,45,9,0,1
GUJARAT,JUNAGADH,237,46,9,1,0
GUJARAT,KACHCHH,442,77,16,3,0
GUJARAT,KHEDA,316,58,14,2,1
GUJARAT,MAHESANA,295,63,13,3,1
GUJARAT,MAHISAGAR,225,36,8,1,1
GUJARAT,MORBI,198,35,5,2,1
GUJARAT,NARMADA,174,28,3,2,1
GUJARAT,NAVSARI,296,50,11,3,1
GUJARAT,PANCH MAHALS,300,54,12,1,1
GUJARAT,PATAN,326,55,14,2,0
