source,state,district
Climate-CSV,ANDAMAN & NICOBAR,NICOBAR
Climate-CSV,ANDAMAN & NICOBAR,NICOBARS
Climate-CSV,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN
Climate-CSV,ANDAMAN & NICOBAR,NORTH AND MIDDLE ANDAMAN
Climate-CSV,ANDAMAN & NICOBAR,SOUTH ANDAMAN
Climate-CSV,ANDAMAN & NICOBAR,SOUTH ANDAMANS
Climate-CSV,ANDHRA PRADESH,SPSR NELLORE
Climate-CSV,ANDHRA PRADESH,Y S R KADAPA
Climate-CSV,ANDHRA PRADESH,VISHAKHAPATNAM
Climate-CSV,ANDHRA PRADESH,Y.S.R.
Climate-CSV,ANDHRA PRADESH,ANANTHAPUR
Climate-CSV,ARUNACHAL PRADESH,KRA DAADI
Climate-CSV,ARUNACHAL PRADESH,SIANG
Climate-CSV,ARUNACHAL PRADESH,PAKKE KESSANG
Climate-CSV,ARUNACHAL PRADESH,LONGDING
Climate-CSV,ARUNACHAL PRADESH,LEPA RADA
Climate-CSV,ARUNACHAL PRADESH,LOWER SIANG
Climate-CSV,ARUNACHAL PRADESH,PAPUMPARE
Climate-CSV,ARUNACHAL PRADESH,SHI YOMI
Climate-CSV,ARUNACHAL PRADESH,NAMSAI
Climate-CSV,ARUNACHAL PRADESH,KAMLE
Climate-CSV,ARUNACHAL PRADESH,LEPARADA
Climate-CSV,ASSAM,BISWANATH
Climate-CSV,ASSAM,CHARAIDEO
Climate-CSV,ASSAM,HOJAI
Climate-CSV,ASSAM,KAMRUP METRO
Climate-CSV,ASSAM,SOUTH SALMARA MANCACHAR
Climate-CSV,ASSAM,WEST KARBI ANGLONG
Climate-CSV,ASSAM,SOUTH SALMARA MANKACHAR
Climate-CSV,ASSAM,SIBSAGAR
Climate-CSV,ASSAM,MAJULI
Climate-CSV,ASSAM,KAMRUP RURAL
Climate-CSV,BIHAR,JAHANABAD
Climate-CSV,BIHAR,KAIMUR
Climate-CSV,BIHAR,PASHCHIMI CHAMPARAN
Climate-CSV,CHHATTISGARH,RAJ NANDGAON
Climate-CSV,CHHATTISGARH,KONDAGAON
Climate-CSV,CHHATTISGARH,BALOD
Climate-CSV,CHHATTISGARH,BALODA BAZAR
Climate-CSV,CHHATTISGARH,GARIYABAND
Climate-CSV,CHHATTISGARH,GAURELA-PENDRA-MARWAHI
Climate-CSV,CHHATTISGARH,SUKMA
Climate-CSV,CHHATTISGARH,SURAJPUR
Climate-CSV,CHHATTISGARH,NARAINPUR
Climate-CSV,CHHATTISGARH,BEMETARA
Climate-CSV,CHHATTISGARH,GAURELLA PENDRA MARWAHI
Climate-CSV,CHHATTISGARH,KABIRDHAM
