source,state,district
PMBJP,ANDHRA PRADESH,ANAKAPALLI
PMBJP,ANDHRA PRADESH,BAPATLA
PMBJP,ANDHRA PRADESH,Y.S.R.
PMBJP,ANDHRA PRADESH,KAKINADA
PMBJP,ANDHRA PRADESH,DR. B.R. AMBEDKAR
PMBJP,ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA
PMBJP,ANDHRA PRADESH,ELURU
PMBJP,ANDHRA PRADESH,SRI SATHYA SAI
PMBJP,ANDHRA PRADESH,ANNAMAYYA
PMBJP,ANDHRA PRADESH,PALNADU
PMBJP,ANDHRA PRADESH,PARVATHIPURAM MANYAM
PMBJP,ANDHRA PRADESH,ANANTHAPURAMU
PMBJP,ANDHRA PRADESH,TIRUPATI
PMBJP,ANDHRA PRADESH,NANDYAL
PMBJP,ANDHRA PRADESH,NTR
PMBJP,ANDHRA PRADESH,ALLURI SITHARAMA RAJU
PMBJP,ARUNACHAL PRADESH,LOWER SIANG
PMBJP,ARUNACHAL PRADESH,KAMLE
PMBJP,ARUNACHAL PRADESH,LEPARADA
PMBJP,ARUNACHAL PRADESH,SIANG
PMBJP,ARUNACHAL PRADESH,SHI YOMI
PMBJP,ARUNACHAL PRADESH,LONGDING
PMBJP,ARUNACHAL PRADESH,NAMSAI
PMBJP,ARUNACHAL PRADESH,KRA DAADI
PMBJP,ARUNACHAL PRADESH,PAKKE KESSANG
PMBJP,ASSAM,MAJULI
PMBJP,ASSAM,CHARAIDEO
PMBJP,ASSAM,KAMRUP METRO
PMBJP,ASSAM,HOJAI
PMBJP,ASSAM,BISWANATH
PMBJP,ASSAM,SOUTH SALMARA MANCACHAR
PMBJP,BIHAR,KAIMUR
PMBJP,CHHATTISGARH,KOREA
PMBJP,CHHATTISGARH,SARANGARH BILAIGARH
PMBJP,CHHATTISGARH,KHAIRAGARH CHHUIKHADAN GANDAI
PMBJP,CHHATTISGARH,MOHLA MANPUR AMBAGARH CHOUKI
PMBJP,CHHATTISGARH,MUNGELI
PMBJP,CHHATTISGARH,BALRAMPUR RAMANUJGANJ
PMBJP,CHHATTISGARH,SUKMA
PMBJP,CHHATTISGARH,MOHLA MANPUR AMBAGARH
PMBJP,CHHATTISGARH,SAKTI
PMBJP,CHHATTISGARH,BEMETARA
PMBJP,CHHATTISGARH,KONDAGAON
